unit,CSP_1,CSP_2,CSP_3,CSP_4,label
,-2.557714746911012,-0.681209138061111,-1.2804627852817454,-1.9761275123240887,PATROL
,-2.600968580110861,-0.6905857888543713,-1.2553462865871616,-1.9694122788112944,PATROL
,-2.577780405714139,-0.7354191366382558,-1.1079536388970377,-2.1670140887145415,PATROL
,-2.3499895977369674,-0.9268392500556284,-0.8917003506296809,-2.3139596436488974,PATROL
,-2.4782249657247717,-0.7593253687857789,-1.0136195707637603,-2.4624849460929,PATROL
,-2.7436222633407734,-0.6196196784591641,-1.185749171372823,-2.3860010128353766,PATROL
,-2.7572299706247794,-0.5864672600812091,-1.2515696770896185,-2.3624604034924643,PATROL
,-2.3664641104384723,-0.6575797073678957,-1.291074415236456,-2.17940170251746,PATROL
,-2.7606794543470836,-0.5342862067415981,-1.4069714405279117,-2.2463944909096654,PATROL
,-2.9133866209451935,-0.6708483739399602,-1.0919895385356653,-2.3137920362627824,PATROL
,-2.857934428962709,-0.7057710299306839,-1.1095884779272358,-2.127032507225462,PATROL
,-2.4860572958622047,-0.9711454521068951,-0.9109780582869124,-1.9952275402166435,PATROL
,-2.5983766392355996,-0.9706253518862311,-0.9447649833138622,-1.8452313161434828,PATROL
,-2.3559525900513365,-0.8363874415539516,-1.0274886723893641,-2.171387783981446,PATROL
,-2.462187470832993,-0.7577761723088196,-1.0945271746724408,-2.195109986259145,PATROL
,-2.317039707636225,-0.6715725063337251,-1.3014964906422253,-2.1336336617999527,PATROL
,-2.429043475817229,-0.6897860890181202,-1.2477339588366236,-2.095239434483793,PATROL
,-2.2775160451498944,-0.8286243812795592,-1.005961686010048,-2.3526256202069775,PATROL
,-2.103926357357727,-0.9239101653598107,-0.9413909015914904,-2.3971733903891494,PATROL
,-2.1586828993400826,-0.8795052811986489,-1.002123221061655,-2.278521553196445,PATROL
,-2.2069632450172105,-0.9775375076921576,-0.8852114400305531,-2.291621863940011,PATROL
,-2.439678840246946,-0.9569123179810973,-0.8477225549202876,-2.2991437047322663,PATROL
,-2.6102445012975455,-0.7445198194086624,-1.0553883554643528,-2.268532622603537,PATROL
,-2.55828578356028,-0.5832157208194697,-1.3433636544032412,-2.268227556758551,PATROL
,-2.088367154938396,-0.7315283560176788,-1.3177350027380446,-2.0620208493928103,PATROL
,-2.143417573990481,-0.6806392480709068,-1.340683715802341,-2.1646803426114722,PATROL
,-2.3491172109617975,-0.8411815897336123,-0.9806118365549698,-2.3200939853265403,PATROL
,-2.3064945287382352,-0.9739596251648482,-0.8588260175043846,-2.3111613414932224,PATROL
,-2.288026737179062,-1.011381464556773,-0.9088463156890146,-2.026253699434016,PATROL
,-2.208865474981101,-1.008252976037704,-0.8543031101438735,-2.305195318588916,PATROL
,-1.8757630293481398,-0.7929040871874352,-1.1744310485282365,-2.462301273992924,PATROL
,-2.491186850481188,-0.6801846646432699,-1.133540895630841,-2.4216673453094284,PATROL
,-2.4117110333799237,-0.6530552039490028,-1.220848919783216,-2.3548751995670507,PATROL
,-2.7256677333850465,-0.7359105292259106,-1.084768681168304,-2.1417550147693367,PATROL
,-2.4415038612914683,-0.8169176943113625,-1.0661809128605266,-2.064688248474593,PATROL
,-2.004495480929478,-0.8692308265178376,-1.1264377205334888,-2.1052781663014866,PATROL
,-2.0178251802123675,-0.8639316393096006,-1.0589215606430264,-2.315422664643202,PATROL
,-2.135187467991733,-1.0410393363599468,-0.8025368266156768,-2.51950404394396,PATROL
,-2.366102913177264,-0.9392641137138622,-0.8096093655522218,-2.656307477817839,PATROL
,-2.3971762411989697,-0.7723336327848538,-0.9444031069524288,-2.8442127118676015,PATROL
,-2.669629595288158,-0.6461943595797862,-1.110166285713212,-2.5615932405197044,PATROL
,-2.3994764724492814,-0.8848718259743122,-0.945941578200211,-2.2242019701233082,PATROL
,-2.018792406313105,-0.8530323292212662,-1.091470776531844,-2.2505520575716047,PATROL
,-1.7498483637854263,-0.9004649892514311,-1.176971709878985,-2.1927592066834927,PATROL
,-2.118155254289502,-0.8170742509282674,-1.2092674643406713,-1.9689110119366233,PATROL
,-2.460556689701759,-0.5814757895503458,-1.4517385228488302,-2.1088532472509702,PATROL
,-2.52315593632362,-0.6084418816238479,-1.2925661653986347,-2.2923329649493995,PATROL
,-2.026555506211312,-0.8056273554871677,-1.1302883497342517,-2.318067736012553,PATROL
,-2.0464954908634705,-0.8079497630727883,-1.1461313592087783,-2.233264366544699,PATROL
,-2.458695867868595,-0.7623794176196147,-1.0245772949186283,-2.4196761518342824,PATROL
,-2.488309704424067,-0.7208842646351485,-1.1277630332520598,-2.2361321781144263,PATROL
,-2.5879980590261042,-0.7703007201165956,-1.1015715728453137,-2.0432453324380617,PATROL
,-2.526647754189875,-0.6682146565466895,-1.2236411485365117,-2.1777745335393273,PATROL
,-2.420325932403049,-0.7422917490903883,-1.0423756980055947,-2.4953250398647295,PATROL
,-2.6254271470851758,-0.7346174635367455,-1.0634805413159916,-2.276428150601151,PATROL
,-2.672998132663474,-0.6230172783754192,-1.2058259859254454,-2.351914264519997,PATROL
,-2.6030351810715553,-0.9527968074714199,-0.8456926020964577,-2.197948805478914,PATROL
,-2.6484777469885676,-0.8033432549997912,-1.0095160209768208,-2.1454394033033304,PATROL
,-2.603295294564521,-0.7398961132196309,-1.05945315610177,-2.281195794109339,PATROL
,-2.187698872137915,-0.8432498813542915,-1.0416910390035072,-2.2570559935286285,PATROL
,-2.1406382639203088,-1.1286165005795505,-0.833628595859205,-2.0836918500463746,PATROL
,-2.3015126682117977,-0.8206999629460111,-1.0304420676696626,-2.273802813117214,PATROL
,-2.693135963495842,-0.5988746108281079,-1.1956707874805999,-2.5207284578121945,PATROL
,-2.7687934838281865,-0.696972523454126,-1.0252506089231432,-2.5199353873739914,PATROL
,-2.77060237379495,-0.7160424379201762,-1.0080560353129417,-2.4797327650530185,PATROL
,-2.5814981791894285,-0.6811923322799484,-1.1027277773117035,-2.44920966067988,PATROL
,-2.4944946816314117,-0.9005683556767146,-1.0416995459532896,-1.8434609171531848,PATROL
,-2.540129203116691,-1.0216534165688878,-0.9039861732493633,-1.8566670714484887,PATROL
,-2.729274160938065,-0.9419456050013124,-0.8874592507916653,-2.016171311541638,PATROL
